 - , Teste 1 (s), Teste 2 (s), Teste 3 (s), Teste 4 (s), Teste 5 (s), Teste 6 (s), Teste 7 (s), Teste 8 (s), Teste 9 (s), Teste 10 (s)
manual_valid/, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
symbol/, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
rule/, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
cdrc/, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
step3/, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
step4/, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
deriv/, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
bfs2/, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
bfs3/, 0.06, 0.04, 0.03, 0.03, 0.04, 0.03, 0.03, 0.03, 0.03, 0.03
bfs3_token_3/, 0.09, 0.03, 0.03, 0.03, 0.04, 0.04, 0.03, 0.03, 0.03, 0.03
random/, 2.26, 2.14, 2.14, 2.11, 2.07, 2.14, 2.14, 2.15, 2.16, 2.10
random_token_3/, 4.68, 2.97, 2.12, 2.11, 2.14, 2.10, 2.11, 2.16, 2.10, 2.13
manual_invalid/, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
mutation/, 0.07, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.04, 0.05
damerau_levenshtein_2_rule/, 0.23, 0.17, 0.17, 0.18, 0.17, 0.17, 0.17, 0.17, 0.17, 0.17
damerau_levenshtein_2_rule_token_3/, 0.65, 0.16, 0.17, 0.17, 0.17, 0.16, 0.16, 0.17, 0.16, 0.16
damerau_levenshtein_3_rule/, 0.20, 0.17, 0.17, 0.18, 0.17, 0.16, 0.17, 0.18, 0.17, 0.17
damerau_levenshtein_3_rule_token_3/, 0.66, 0.20, 0.18, 0.20, 0.20, 0.18, 0.20, 0.20, 0.21, 0.19
